Timestamp,Action,Audit Date,Item,Field,Old Value,New Value,Change
"7/31/2025, 2:06:22 AM",update,"7/1/2025",CPU,firstprod,0,12,"📈 +12"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",Monitor,overallTotal,0,24,"📈 +24"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",Monitor,total,0,24,"📈 +24"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",Monitor,3213,0,12,"📈 +12"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",Monitor,overallTotal,0,24,"📈 +24"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",Monitor,total,0,24,"📈 +24"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",Monitor,thirdprod,0,12,"📈 +12"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",CPU,overallTotal,0,24,"📈 +24"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",CPU,total,0,24,"📈 +24"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",CPU,secondprod,0,12,"📈 +12"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",CPU,overallTotal,0,24,"📈 +24"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",CPU,total,0,24,"📈 +24"
"7/31/2025, 12:46:16 AM",update,"7/30/2025",CPU,firstprod,0,12,"📈 +12"
"7/31/2025, 12:45:45 AM",delete,"7/31/2025",,,-,-,"➕ Added"
"7/31/2025, 12:43:55 AM",update,"7/1/2025",CPU,overallTotal,0,12,"📈 +12"
"7/31/2025, 12:43:55 AM",update,"7/1/2025",CPU,total,0,12,"📈 +12"
"7/31/2025, 12:43:55 AM",update,"7/1/2025",CPU,firstprod,0,12,"📈 +12"
"7/31/2025, 12:43:37 AM",update,"7/30/2025",CPU,overallTotal,0,246,"📈 +246"
"7/31/2025, 12:43:37 AM",update,"7/30/2025",CPU,total,0,246,"📈 +246"
"7/31/2025, 12:43:37 AM",update,"7/30/2025",CPU,secondprod,0,123,"📈 +123"
"7/31/2025, 12:43:37 AM",update,"7/30/2025",CPU,overallTotal,0,246,"📈 +246"
"7/31/2025, 12:43:37 AM",update,"7/30/2025",CPU,total,0,246,"📈 +246"
"7/31/2025, 12:43:37 AM",update,"7/30/2025",CPU,firstprod,0,123,"📈 +123"
"7/31/2025, 12:43:13 AM",update,"6/30/2025",CPU,overallTotal,0,12,"📈 +12"
"7/31/2025, 12:43:13 AM",update,"6/30/2025",CPU,total,0,12,"📈 +12"
"7/31/2025, 12:43:13 AM",update,"6/30/2025",CPU,firstprod,0,12,"📈 +12"
"7/31/2025, 12:41:38 AM",delete,"6/4/2025",,,-,-,"➕ Added"
"7/30/2025, 11:08:30 PM",delete,"6/6/2025",,,-,-,"➕ Added"
"7/9/2025, 3:23:04 AM",delete,"6/7/2025",,,-,-,"➕ Added"
"6/6/2025, 9:55:00 PM",update,"6/4/2025",Monitor,overallTotal,61,73,"📈 +12"
"6/6/2025, 9:54:59 PM",update,"6/4/2025",Monitor,total,46,58,"📈 +12"
"6/6/2025, 9:54:59 PM",update,"6/4/2025",Monitor,secondprod,0,12,"📈 +12"
"6/5/2025, 11:00:35 PM",delete,"6/5/2025",,,-,-,"➕ Added"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",Monitor,overallTotal,0,4,"📈 +4"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",Monitor,total,0,4,"📈 +4"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",Monitor,watneyrobotics,0,2,"📈 +2"
